iteration 1000, accuracy:0.4116186693147964, max accuracy:0.4116186693147964, loss:36.02608871459961, min Loss:36.02608871459961
iteration 2000, accuracy:0.41211519364448856, max accuracy:0.41211519364448856, loss:19.133838653564453, min Loss:18.85075569152832
iteration 3000, accuracy:0.44885799404170806, max accuracy:0.44885799404170806, loss:12.587106704711914, min Loss:12.572595596313477
iteration 4000, accuracy:0.45779543197616684, max accuracy:0.45779543197616684, loss:10.287052154541016, min Loss:10.085832595825195
iteration 5000, accuracy:0.4801390268123138, max accuracy:0.4801390268123138, loss:8.767284393310547, min Loss:8.767284393310547
iteration 6000, accuracy:0.4970208540218471, max accuracy:0.4970208540218471, loss:7.943724155426025, min Loss:7.943724155426025
iteration 7000, accuracy:0.5119165839126117, max accuracy:0.5119165839126117, loss:7.414031982421875, min Loss:7.372302055358887
iteration 8000, accuracy:0.5163853028798411, max accuracy:0.5163853028798411, loss:7.015340328216553, min Loss:6.933502674102783
iteration 9000, accuracy:0.5094339622641509, max accuracy:0.5163853028798411, loss:6.614996910095215, min Loss:6.6123785972595215
iteration 10000, accuracy:0.5228401191658392, max accuracy:0.5228401191658392, loss:6.536807060241699, min Loss:6.346660137176514
iteration 11000, accuracy:0.5203574975173784, max accuracy:0.5228401191658392, loss:6.163270950317383, min Loss:6.132989406585693
iteration 12000, accuracy:0.5228401191658392, max accuracy:0.5228401191658392, loss:6.240209102630615, min Loss:5.941545009613037
iteration 13000, accuracy:0.5337636544190665, max accuracy:0.5337636544190665, loss:5.892147064208984, min Loss:5.766326904296875
iteration 14000, accuracy:0.5431976166832175, max accuracy:0.5431976166832175, loss:5.629746437072754, min Loss:5.618631362915039
iteration 15000, accuracy:0.5347567030784508, max accuracy:0.5431976166832175, loss:5.5939459800720215, min Loss:5.460737705230713
iteration 16000, accuracy:0.5466732869910625, max accuracy:0.5466732869910625, loss:5.501125812530518, min Loss:5.332339763641357
iteration 17000, accuracy:0.5526315789473685, max accuracy:0.5526315789473685, loss:5.494372367858887, min Loss:5.2101640701293945
iteration 18000, accuracy:0.5491559086395233, max accuracy:0.5526315789473685, loss:5.136308193206787, min Loss:5.103604793548584
iteration 19000, accuracy:0.5561072492552135, max accuracy:0.5561072492552135, loss:5.065974712371826, min Loss:5.005852222442627
iteration 20000, accuracy:0.5422045680238332, max accuracy:0.5561072492552135, loss:5.068734645843506, min Loss:4.912633419036865
iteration 21000, accuracy:0.5585898709036743, max accuracy:0.5585898709036743, loss:5.1586151123046875, min Loss:4.834211349487305
iteration 22000, accuracy:0.5620655412115194, max accuracy:0.5620655412115194, loss:4.754876613616943, min Loss:4.751495361328125
iteration 23000, accuracy:0.5531281032770605, max accuracy:0.5620655412115194, loss:4.75925350189209, min Loss:4.668191432952881
iteration 24000, accuracy:0.5595829195630586, max accuracy:0.5620655412115194, loss:4.606968879699707, min Loss:4.596363544464111
